ID,View Modes,Entity Type,X,Dev,QA,Entities Used On,Notes,Format
,Teaser,Content type,x,,,,,
,Content Thumbnail,Content type,a,,,Program,Set to allow use on programs. Shows program image and linked title,
,42x42,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,200x200 Non-crop,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,240x240,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,393x221,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,426x426,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,426x508,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,492x492,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,539x304,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,650x650,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,730x840,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,758x428,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,874x492,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,1096x619,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,1920x1445,Media type,a,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,Banner,Media type,x,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,Full,Media type,d,,,"Image, Video","Add to image media type manage display, set to matching responsive image style. ",
,Icon,Media type,a,,,Icon,"Add to image media type manage display, set to matching image style. ",
,Large,Media type,d,,,Image,"Add to image media type manage display, set to matching responsive image style. ",
,Large Embed,Media type,d,,,"Image, Video, Document","Add to all media types manage display, set to matching responsive image style. ",
,Large Thumb,Media type,d,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,Medium,Media type,d,,,Image,"Add to image media type manage display, set to matching responsive image style. ",
,Medium Embed,Media type,d,,,"Image, Video, Document","Add to all media types manage display, set to matching responsive image style. ",
,Small,Media type,d,,,Image,"Add to image media type manage display, set to matching responsive image style. ",
,Small Embed,Media type,d,,,"Image, Video, Document","Add to all media types manage display, set to matching responsive image style. ",
,Social Share,Media type,a,,,Image,"Add to image medai type, set to matching image style.",
,Square,Media type,x,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,Thumbnail Cropped,Media type,d,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,Views Card,Media type,d,,,Image,"Add to image media type manage display, set to matching responsive image style.",
,Preview,Paragraph type,x,,,Image,,
