ID,Style name,Machine name,X,Dev,QA,Notes
,42x42,42x42,a,,,"Focal point scale and crop to 42x42, convert to WebP"
,42x42 1.5x,42x42_1_5x,a,,,"Focal point scale and crop to 63x63, Image Style Quality 50%, convert to WebP"
,42x42 2x,42x42_2x,a,,,"Focal point scale and crop to 84x84, Image Style Quality 45%, convert to WebP"
,42x42 Non-WebP,42x42_non-webp,a,,,Focal point scale and crop to 42x42
,200x200 (Non Crop),200x200_non_crop,a,,,"Scale wdith/height to 200x200, convert to WebP"
,200x200 (Non Crop) 1.5x,200x200_non_crop_1_5x,a,,,"Scale wdith/height to 300x300, Image Style Quality 45%, convert to WebP"
,200x200 (Non Crop) 2x,200x200_non_crop_2x,a,,,"Scale wdith/height to 400x400, Image Style Quality 40%, convert to WebP"
,200x200 (Non Crop) Non-WebP,200x200_non_crop_non-webp,a,,,Scale wdith/height to 200x200
,240x240,240x240,a,,,"Focal point scale and crop to 240x240, convert to WebP"
,240x240 1.5x,240x240_1_5x,a,,,"Focal point scale and crop to 360x360, Image Style Quality 45%, convert to WebP"
,240x240 2x,240x240_2x,a,,,"Focal point scale and crop to 480x480, Image Style Quality 40%, convert to WebP"
,240x240 Non-WebP,240x240_non-webp,a,,,Focal point scale and crop to 240x240
,360x360,360x360,x,,,"Focal point scale and crop to 360x360, convert to WebP"
,360x360 1.5x,360x360_1_5x,x,,,"Focal point scale and crop to 540x540, Image Style Quality 40%, convert to WebP"
,360x360 2x,360x360_2x,x,,,"Focal point scale and crop to 720x720, Image Style Quality 35%, convert to WebP"
,360x360 Non-WebP,360x360_non-webp,x,,,Focal point scale and crop to 360x360
,393x221,393x221,a,,,"Focal point scale and crop to 393x221, convert to WebP"
,393x221 1.5x,393x221_1_5x,a,,,"Focal point scale and crop to 590x332, Image Style Quality 45%, convert to WebP"
,393x221 2x,393x221_2x,a,,,"Focal point scale and crop to 786x442, Image Style Quality 40%, convert to WebP"
,393x221 Non-WebP,393x221_non-webp,a,,,Focal point scale and crop to 393x221
,426x426,426x426,a,,,"Focal point scale and crop to 426x426, convert to WebP"
